Site,Plot,LON,LAT,Altitude,SWC,pH,STC,STN,soilPC,herbivory,flavonoid,saponin,tannin,biomass,richness,shannon,pielou,bio1,bio4,bio5,bio6,bio12,bio13,bio14,bio15,diandaolv
23,1,97.49825278,33.13920556,4583,0.471798221,5.83,124.2,10.1,5.47579,3.333333333,34.5759521,16.7665366,17.3873913,67.4328,20,2.451306593,0.818266243,-3.4333334,789.3764038,12.5,-23.10000038,570,126,5,94.22600555,87
23,3,97.49791111,33.13858889,4584,0.578317621,5.97,102.1,9,3.5207,6,31.13838735,23.71893653,17.37521739,67.5185,25,2.205547278,0.685191787,-3.4333334,789.3764038,12.5,-23.10000038,570,126,5,94.22600555,79
23,4,97.49838056,33.13875833,4584,0.576262874,5.47,73.4,6.5,0.97428,6.666666667,29.81467456,18.2447504,15.91133981,67.9,29,2.310757403,0.686235341,-3.4333334,789.3764038,12.5,-23.10000038,570,126,5,94.22600555,107
25,1,99.54296389,31.75630278,4035,0.253375623,6.17,61.4,5.4,-0.09108,16,35.3572093,22.06323006,19.36390533,65.9065,21,2.116382059,0.695144182,1.69583344,702.7072754,16.60000038,-17,624,125,4,93.24927521,67
25,2,99.54333889,31.75665833,4049,0.28840675,5.73,69.6,6.4,0.63863,14.66666667,54.18418824,16.66797792,25.51175542,45.5751,24,2.494953344,0.785056981,1.69583344,702.7072754,16.60000038,-17,624,125,4,93.24927521,92
25,3,99.54294444,31.75700556,4057,0.336002315,6.08,79.1,6.9,1.47917,22.22222222,47.52262425,20.0833526,29.08720472,39.57168,21,2.230205214,0.732530392,1.69583344,702.7072754,16.60000038,-17,624,125,4,93.24927521,73
25,4,99.54259444,31.75663889,4038,0.308502727,6.47,62.7,5.6,0.02483,13.88888889,47.01461272,22.35664373,18.25108108,53.25861,30,2.024366536,0.595192313,1.69583344,702.7072754,16.60000038,-17,624,125,4,93.24927521,50
26,1,100.1809833,31.60211111,3951,0.300412939,5.63,55.9,5.1,-0.5777,11.33333333,33.70572332,22.6965508,36.05,90.0045,20,1.195704339,0.399135914,2.60833335,687.0551148,17.29999924,-16.70000076,637,127,4,93.10803986,98
26,2,100.1804972,31.60196944,3952,0.334986284,5.56,74.6,6.4,1.07924,8,35.04937052,22.84170956,32.29243243,83.31336,24,1.117032982,0.351483342,2.60833335,687.0551148,17.29999924,-16.70000076,637,127,4,93.10803986,103
26,3,100.1807111,31.60154167,3955,0.326970275,5.89,48.1,4.2,-1.2714,10.66666667,87.82743083,21.4576334,37.66330709,62.1394,33,2.37253635,0.678544607,2.60833335,687.0551148,17.29999924,-16.70000076,637,127,4,93.10803986,83
26,4,100.1811278,31.60167222,3958,0.338176876,5.69,62,5.5,-0.03738,3.333333333,45.33454118,19.7868219,30.69692913,100.107,30,1.418461002,0.41704754,2.60833335,687.0551148,17.29999924,-16.70000076,637,127,4,93.10803986,95
31,4,99.95716111,34.56125556,3823,0.134121581,7.54,44.2,4.8,-1.61118,4.545454545,45.333792,28.22289766,15.3725,55.8796,21,2.239856591,0.735700471,-0.86666656,805.5667725,15.19999981,-22,478,104,2,95.83124542,-12
40,1,100.9191278,38.00186667,3721,0.215209581,7.47,77.1,7.2,1.30475,0,39.15176048,26.57885524,17.56151093,33.20164,11,1.240650523,0.517391455,-2.6916666,869.6311646,14.60000038,-23.70000076,463,104,2,101.1413498,-8
